Label,Count,Wing_Area
MP_MalKopp1.1_B3_2_F__04.tif,116,C3
MP_MalKopp1.1_B3_2_F__04.tif,106,E1
MP_MalKopp1.1_B3_2_F__04.tif,91,E2
MP_MalKopp1.1_B3_2_F__04.tif,72,F1
MP_MalKopp1.1_B3_2_F__04.tif,94,F2
MP_MalKopp1.1_B3_2_F__04.tif,104,F3
MP_MalKopp1.1_B3_2_F__04.tif,116,G1
MP_MalKopp1.1_B3_2_F__04.tif,80,G2
MP_MalKopp1.1_B3_2_F__04.tif,104,G3
MP_MalKopp1.1_B3_2_F__05.tif,77,A1
MP_MalKopp1.1_B3_2_F__05.tif,83,A2
MP_MalKopp1.1_B3_2_F__05.tif,93,B1
MP_MalKopp1.1_B3_2_F__05.tif,79,B2
MP_MalKopp1.1_B3_2_F__05.tif,83,B3
MP_MalKopp1.1_B3_2_F__05.tif,71,C1
MP_MalKopp1.1_B3_2_F__05.tif,99,C2
MP_MalKopp1.1_B3_2_F__05.tif,123,C3
MP_MalKopp1.1_B3_2_F__05.tif,100,E1
MP_MalKopp1.1_B3_2_F__05.tif,97,E2
MP_MalKopp1.1_B3_2_F__05.tif,85,F1
MP_MalKopp1.1_B3_2_F__05.tif,91,F2
MP_MalKopp1.1_B3_2_F__05.tif,125,F3
MP_MalKopp1.1_B3_2_F__05.tif,112,G1
MP_MalKopp1.1_B3_2_F__05.tif,90,G2
MP_MalKopp1.1_B3_2_F__05.tif,103,G3
MP_MalKopp1.1_B3_2_F__06.tif,81,A1
MP_MalKopp1.1_B3_2_F__06.tif,81,A2
MP_MalKopp1.1_B3_2_F__06.tif,96,B1
MP_MalKopp1.1_B3_2_F__06.tif,91,B2
MP_MalKopp1.1_B3_2_F__06.tif,90,B3
MP_MalKopp1.1_B3_2_F__06.tif,77,C1
MP_MalKopp1.1_B3_2_F__06.tif,90,C2
MP_MalKopp1.1_B3_2_F__06.tif,100,C3
MP_MalKopp1.1_B3_2_F__06.tif,102,E1
MP_MalKopp1.1_B3_2_F__06.tif,94,E2
MP_MalKopp1.1_B3_2_F__06.tif,91,F1
MP_MalKopp1.1_B3_2_F__06.tif,101,F2
MP_MalKopp1.1_B3_2_F__06.tif,101,F3
MP_MalKopp1.1_B3_2_F__06.tif,105,G1
MP_MalKopp1.1_B3_2_F__06.tif,87,G2
